file , total_code_churn , max_code_churn , average_code_churn , commits , contributors_num , minor_contributors_num , highest_contributors_percentage , median_number_of_hunk , total_added_line , max_added_line , average_added_line , total_removed_line , max_removed_line , average_removed_line
core\java\android\os\Build.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
services\core\java\com\android\server\display\WifiDisplayController.java,83,46,42,2,2,0,76.17,8.5,138,92,69,55,55,28
services\core\java\com\android\server\display\ExtendedRemoteDisplayHelper.java,152,152,152,1,1,0,100.0,1,152,152,152,0,0,0
packages\SystemUI\src\com\android\systemui\statusbar\phone\PhoneStatusBarPolicy.java,60,38,30,2,2,0,63.33,5.0,60,38,30,0,0,0
services\core\java\com\android\server\wm\ActivityTaskManagerService.java,13,13,13,1,1,0,100.0,1,13,13,13,0,0,0
core\java\com\android\internal\os\Zygote.java,2,2,1,2,2,0,71.43,3.0,8,6,4,6,4,3
core\java\com\android\internal\app\ChooserActivity.java,0,0,0,1,1,0,100.0,1,1,1,1,1,1,1
services\core\java\com\android\server\biometrics\AuthService.java,11,11,11,1,1,0,100.0,3,11,11,11,0,0,0
services\core\java\com\android\server\biometrics\sensors\fingerprint\aidl\FingerprintProvider.java,2,2,2,1,1,0,100.0,5,6,6,6,4,4,4
packages\SystemUI\src\com\android\keyguard\KeyguardPINView.java,43,43,43,1,1,0,100.0,4,43,43,43,0,0,0
packages\SystemUI\src\com\android\keyguard\KeyguardPinBasedInputView.java,4,4,4,1,1,0,100.0,2,5,5,5,1,1,1
packages\SystemUI\src\com\android\keyguard\NumPadKey.java,13,13,13,1,1,0,100.0,5,24,24,24,11,11,11
packages\SystemUI\src\com\android\systemui\statusbar\phone\HeadsUpAppearanceController.java,0,10,0,2,2,0,50.0,6.0,10,10,5,10,10,5
packages\SystemUI\src\com\android\systemui\statusbar\phone\PhoneStatusBarView.java,0,8,0,2,2,0,50.0,2.0,8,8,4,8,8,4
packages\SystemUI\tests\src\com\android\systemui\statusbar\phone\HeadsUpAppearanceControllerTest.java,0,2,0,2,2,0,50.0,2.0,2,2,1,2,2,1
packages\SystemUI\src\com\android\systemui\qs\tiles\InternetTile.java,0,0,0,1,1,0,100.0,2,2,2,2,2,2,2
packages\SystemUI\src\com\android\systemui\statusbar\connectivity\MobileSignalController.java,-1,-1,-1,1,1,0,100.0,3,3,3,3,4,4,4
packages\SystemUI\src\com\android\systemui\statusbar\connectivity\WifiSignalController.java,-16,-16,-16,1,1,0,100.0,2,16,16,16,32,32,32
packages\SystemUI\src\com\android\systemui\qs\QSTileHost.java,-19,-19,-19,1,1,0,100.0,8,5,5,5,24,24,24
